game_state,user_action,agent_assistance,attempt,react_time,user_react_time,from,elapsed_time,to,agent_feedback,timeout,token_id
0,1,0,1,11.763,0,1,1.324,15,0,0,728
0,1,1,2,9.726,1,1,1.135,20,0,0,667
0,1,1,3,0.0,2,1,0.981,9,0,0,671
0,0,2,4,0.014,2,13,0.0,1,0,0,715
0,1,1,1,7.069,1,17,2.375,17,0,0,710
0,0,1,2,1.493,2,9,4.222,2,0,0,671
1,1,0,1,2.602,2,3,8.447,0,0,0,667
1,1,1,2,0.001,2,2,0.001,0,0,0,671
1,1,2,3,0.413,2,18,0.0,9,0,0,671
game_state,user_action,agent_assistance,attempt,react_time,user_react_time,from,elapsed_time,to,agent_feedback,timeout,token_id
0,0,0,1,0.0,,1,0.0,1,0,0,715
0,1,0,1,0.0,,2,0.0,2,0,0,667
0,1,0,2,0.0,,2,0.0,2,0,0,667
0,1,0,3,0.0,,2,0.0,0,0,0,667
game_state,user_action,agent_assistance,attempt,react_time,user_react_time,from,elapsed_time,to,agent_feedback,timeout,token_id
0,1,0,1,3.318,2,13,1.601,13,0,0,671
0,1,1,2,0.0,2,1,0.0,13,0,0,671
0,1,1,3,0.0,2,1,0.0,10,0,0,694
0,0,3,4,0.021,2,20,4.914,1,0,0,715
0,1,1,1,1.3,2,2,7.321,17,0,0,667
0,0,1,2,1.783,2,13,0.753,2,0,0,671
1,1,1,1,6.534,1,2,2.678,2,0,0,671
1,1,1,2,7.158,1,3,1.702,11,0,0,661
1,0,2,3,11.746,0,17,0.893,3,0,0,667
1,0,0,1,2.597,2,11,2.002,4,0,0,661
2,0,0,1,4.789,2,18,1.498,5,0,0,619
